Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Seriatopora,Seriatopora,hystrix,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Cythastrea,,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Cythastrea,,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Cythastrea,,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Cythastrea,,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Cythastrea,,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Other,Goniopora,,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Massive,,,,Other,Platygyra,,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Massive,,,,Other,Platygyra,,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Table,,,,Acropora,Acropora,PIC,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Table,,,,Acropora,Acropora,PIC,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Massive,,,,Other,Montastrea,,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Encrusting,,,,Other,Acanthastrea,pic,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Branching,,,,Other,Montipora,pic,,L,Unhealthy,Disease,Disease,Tissue loss,10,Medial ,Smooth,Oblong,Polyp,Tissue loss,Yes,Yes,001 PHOTO ID
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Table,,,,Acropora,Acropora,?,,L,Unhealthy,Disease,Disease,Growth anomaly,1,Central,,,Coenosarc,Growth anomaly,Yes,Yes,002 SAME AS NEXT SAMPLE
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Table,,,,Acropora,Acropora,?,,L,Unhealthy,Other,Predation,Predation,10,Peripheral ,,,,,Yes,Yes,"003 SAME COLONY AS ABOVE - DEAN SAID THIS IS HOW THE MASS DIE OFF OF THE OTHER COLONIES STARTED, LOOKED LIKE PREDATION"
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Porites,Porites,sp.,,L,Unhealthy,Disease,Disease,Tissue loss,5,Peripheral ,,,,,Yes,Yes,004 PHOTO
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,6:52,7:14,6,12,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,5,Central,,,,,Yes,Yes,005 PHOTO
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Pocillopora,Pocillopora,damicornis,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Encrusting,,,,Other,Cythastrea,,Grey,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Submassive,,,,Porites,Porites,sp.,,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Acropora,Acropora,?,Brown,L,Unhealthy,Disease,Disease,Tissue loss,1,Apical,Smooth,,,,Yes,Yes,1/2 dead in the middle
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Acropora,Acropora,blue,Blue,L,Unhealthy,Disease,Disease,Tissue loss,5,Apical,Smooth,Linear,Polyp,Tissue loss,Yes,Yes,5% DEAD
24/11/18,24,2018 November,2018,Tess,North Bay,12:15,12:26,9,21,Branching,,,,Acropora,Acropora,Brown,Brown,L,Unhealthy,Disease,Disease,Tissue loss,80,Apical,Smooth,Linear,Polyp,Tissue loss,Yes,Yes,80% DEAD
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Pocillopora,Pocillopora,damicornis,Brown,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Acropora,Acropora,sp.,Blue,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Acropora,Acropora,sp.,Blue,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,M,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Stylophora,Stylophora,pistillata,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,S,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
13/3/19,13,2019 March,2019,Tess,North Bay,9:17,11:32,7,22,Branching,,,,Seriatopora,Seriatopora,hystrix,Yellow,L,Healthy,Healthy,Healthy,Healthy,,,,,,,,,
